definition,context,translation,wrong_translation,example
Username,Настройки и другие тексты,Имя пользователя,Юзернейм,Изменить имя пользователя
Nickname,Роли и участники,Никнейм,Алиас,Сменил никнейм
Permission,Роли и участники,Право,Разрешение,Участники с этим правом
Overwrite,Роли и участники,Переопределение,Перезапись,Переопределение прав
Webhook,Функции сервера,Вебхук,Webhook,Создал вебхук
Audit Log,Функции сервера,Журнал аудита,"Журнал событий, лог действий",Загляните в журнал аудита
Emoji,Функции сервера,Эмодзи,"Emoji, эмотикон, смайлик",Пользовательские эмодзи
⮱ Alias,,Название,"Алиас, имя",Эмодзи с названием «Kappa»
Create,Журнал аудита,Создал,Добавил (искл. эмодзи),Создал канал. Добавил эмодзи
Overwrite,Настройки,Переопределение,"Перезапись, перенастройка",Переопределение настроек
Merch,Маркетинг,"Атрибутика, Мерч","Мерчендайз, вещи, шмотки",Магазин мерча
Sweet,Игровой лут,Приятный,Вкусный,… приятным выпавшим лутом
Permission,Доступ к системным функциям,Разрешение,Право,Разрешение на доступ к микрофону
